TweetID,From User,Tweet
274206345991974912,StephanyCheezy9,"Lmao!! #tbt #throwbackthursday #nerd #swag #kb gee_a1 http://t.co/CxF2rz9w"
274206334742831105,syakillalala,"@amir_asyraf29 I pinjam dp you . iLike ! #SWAG laaaa :D http://t.co/enCuEPgO"
274206276773347328,courtneydolph,"Blind folded in our modern dance. No big deal or anything, we just can't see shit. #swag"
274206249913044994,DollazGib,"#Swag. RT @LivDeLaSoul: Facin with that biggie playin.."
274206248705077248,JaxxtheArt,"#swag #thanks -----> RT @gauss_ThaPeLo: http://t.co/GORv4K4b tell a friend."
274206224847880193,Nnamdi_swagg,"@jonfinn13 Haha just speaking the truth. The mature absolute truth. #Swag"
274206203574370304,meghniilyes,"RT @IsleymOfficiell: Aujourd'hui j'ai vu une femme agée en mode Hijeb jilbeb avc au dessus du tout un bonnet New Era NY . #Swag 😄"
274206174361026560,gmrgrl4life_,"@FreedumFries @Wendy_love @dubz929 @DavidVonderhaar #SWAG"
274206174101000192,elizabethh__yo,"Любовь мою #miami #swag #love #like #likes #photo #picture #beauty #cute #nice http://t.co/M7Q4zkvx"
274206154266132480,serezhaswag,"#cool #swag #green #flstudio #fallow #Russia #instahub       #instagood #nice #nike #hot #shot #amazing #a http://t.co/Nu0fUmbR"
274206151749545985,pmirwin10,"@digbyioane: #swag beats by dr.dre.... http://t.co/h0PfBx53” @DJAM99 @daryljmaxwell"
274206147311960064,TumbungJaya,"Try application #aoret2.tk to add followers,retweets,favorites #FollowMe #InstantFollow #Openfollow #F4F #jfb #TFB #swag #FF 24045"
274206139711881216,GToddski,"""@Nicbrockington: Kevin is the koolest kat around http://t.co/qUC0LYBR"" everyone retweet this #swag"
274206128039149568,JonaCreez_,"RT @charlottexkelly: RT @JonaCreez_: Friends #me @Rileyvinck #before #soccer #training #swag #snapback #instagood #instadaily http://t.co/jtyqd8R6 - cuties"
274206113665265665,JonaCreez_,"RT @xElaahx: RT @JonaCreez_: Friends #me @Rileyvinck #before #soccer #training #swag #snapback #instagood #instadaily http://t.co/3LGkC34F / so hott"
274206081562066945,ClockZo,"Yo No Soy Moda, Solo es Estilo #Swag"
274206073760669696,Arisha_67,"Свээээг выпал)) #swag"
274206071780962304,seacattt,"#tags #swag #nah #boredaf #ihopenobodyisreadingthese #ratchetass #village #Carrot #random #wtfiswrongwithme #itsokay #because #meganlovesme"
274206070631718912,SceneMeYet,"@ailishwbu its shite compared to Bratz Rock Angels mate. You have no #swag"
274206050025099265,r0sieth0mps0n,"llandaf north lights with @GracePalladino1  #swag #woo"
274206032446750720,DanOCallan,"RT @shananano: Hahahahaha pure brilliance @giorgiawaters @DanOCallan #putyourmiddlefingersuptotheworld #swag http://t.co/mVgt8ZSG"
274206003820654592,Jack_Trudel,"@KHarbeson #Swag"
274205984447139840,Swagger_jagger1,"@CherLloyd is the 45th most followed female popstar on Twitter in the World! #Swag!!!"
274205982798802944,boo5luv,"Niggas killing me with the word #swag today lol"
274205977673359360,YumsBrown,"Marre d'être associer a Mouvement de PD #Swag"
274205977371361281,GirlishLady,"Try application #aoret2.tk to add followers,retweets,favorites #FollowMe #InstantFollow #Openfollow #F4F #jfb #TFB #swag #FF 36399"
274205973592305665,TURBO_EWIK,"#swag #like #love #monsters #fans #ladygaga #ladygagafan #fame #glory #art #twitter #artpop #bornthisway #in http://t.co/hOO9u0VH"
274205973504204800,emgottula,"#swag http://t.co/8mhw51JO"
274205954214604800,Mhammedalialhae,"RT @BobBryarsFringe: @fuckthefonze #swag"
274205937735192577,mzdLDN,"#swag http://t.co/v9LKYkhI"
274205927522054144,GuguZulu,"Awesome seeing @AdrianKarthon William Nicol. U dnt recognise a brother even when he is waving at u! What's with the Penguin suit? #swag"
274205921691963392,chloefrmdabloq,"RT @hipsterrunoff: Me being #swole. Do I look #swag? http://t.co/IM8ScNwt"
274205920676966400,JFryeBSwaggin22,"#teamfollowback #followngain #22Nation #autofollowback #download #hiphop #swag #instantfollowback http://t.co/fMozF5Pr ""The Way We Doin It"""
274205916226797568,soOUTyo_league,"RT @CashGangDrickz: I dnt even b matchin nomo #swag"
274205912011526144,phillyfressh,"RT @LukeBrehmer: @phillyfressh Garcia has to much #swag. He needs to share with us. #foshow"
274205909096484864,Arielll__,"Aaaand this years Santa picture! #baby #boy #santa #christmas #love #swag http://t.co/PxyjlKV9"
274205888519213057,MiniPetrodollz,"@Kaara75 Xcution34 #JugePasFrère #LaPlayEstAMonGrandFrère #CestLuiQuiAChoisis #JaiDitDeuxFoisLeMotFrère #Swag"
274205867883237376,therealahmad,"Retweet/repost for 50% off coupon #Raqsgear #swag #raqsclothing #1982. Where to get yours you ask? http://t.co/oudq7FBs http://t.co/jP84DcGA"
274205851848413187,runawaynoel,"RT @SingleGayLife: How HOT does Britney look in the Scream & Shout video? #swag #hotmomma 🔥🔥🔥"
274205828289015809,5Cendol,"Try application #aoret2.tk to add followers,retweets,favorites #FollowMe #InstantFollow #Openfollow #F4F #jfb #TFB #swag #FF 37676"
274205723204935681,jpizzleverse,"#todays #kicks #foamposite #metallic #red #nike #zoom #thesneakeraddict #complexkicks #swag #shoes #zara #tb http://t.co/n05F0jcJ"
274205718062723073,_N_OAH,"Try application #aoret2.tk to add followers,retweets,favorites #FollowMe #InstantFollow #Openfollow #F4F #jfb #TFB #swag #FF 30662"
274205687364608001,Leroksa_kut,"К сезону готова! Снега бы побольше, аминь #snowboarding #style #clothes #winter #spb #swag #shopping  @ home http://t.co/l2hcj7TT"
274205681979113472,MishkaCoovadia,"Prize giving tomorrow 😜👊@mandisamsimang #ready #swag http://t.co/b81S5LMA"
274205665348710400,coco674,"first place 😁✨ #first #place #peace #cool #competition #lol #love #swag #dope #deutschland #deutsch #german http://t.co/uiJVtS8Y"
274205658931408896,PentelGaming,"Ok, ora che abbiamo creato anche twitter, bisognerebbe iniziare a fare video.. Presto..#SWAG"
274205648764420098,ViolettaRabiosa,"#me #swag #like #follow #instagood #followme #girl #webstagram #porusski #bonita #rubia #igers #iphone #beau http://t.co/9KeJBvGH"
274205644201021442,therealJCC23,"My dad had the coolest mustache in the world! I wish I could grow one like him! #pornstache #movember #swag http://t.co/PXKz0S9d"
274205641814441986,yomajestypopek,"Long live George Dubyaa doe #Texas #bitch #swag"
274205618770935808,YungSaint_5,"@mcrem_xo @rebeccaleighxo #swag"
274205613964275712,RiekeTetenPaten,"Try application #aoret2.tk to add followers,retweets,favorites #FollowMe #InstantFollow #Openfollow #F4F #jfb #TFB #swag #FF 92223"
274205577498988544,ErinIsA_G,"Yay for my momma calling me out at 2👍👍👍 #swag"
274205554547769344,phelpstwitt92,"RT @surcoop: @phelpstwitt92 good morning amber i hope you have a super super day my friend!! #swag"
274205551666282496,Dittomusic,"Posting your music on someones Facebook wall and then liking it yourself is really not #swag"
274205516153122818,NoLoox,"#Swag 😛 @GinaLucia3 @anabelendomingu @stephanyvte http://t.co/1lg0K2Zt"
274205508431405056,JaxxtheArt,"#Goodfolx #artlife #swag http://t.co/LzmPUTly"
274205506829176832,MACbaby_,"RT @dharmon91: @MACbaby_: Wearing my work shirt to school because I forgot my other one. #swag #hebpride” #representin"
274205484083445761,DaniSalazar15,"#face #vanity #labios #love #vogue #kiss #instagramer #cute #models #mebcoato #model #bambino #italianboy #super #sexy #swag... Y es hombre!"
274205481352970240,TylerVosper,"Proof that Jordan Richards IS a gangster. #swag #gangster http://t.co/58W5KCsY"
274205477473222656,boardparadise,"heelbruise #bruiser #heelbruise #cruisinforabruisin #fersher #thrashermag #swag #littlepie @ Board Paradise http://t.co/gqvjOSeM"
274205474767896576,KatrickPeenan,"@creedencefonder I sold all of them the first day! #swag"
274205463367806976,_LuckyRock,"Lol NJA! RT @gauss_ThaPeLo: #swag ""@_LuckyRock: Judging by my slow TL today everyone has a job besides me :("""
274205443319021568,TOASTgangBERT,"#real #nigga #chilling #poppin #van #fresh #swag #russian #mobbin #group #cuban #drug #war @starlei_greenwoo http://t.co/ZK5dQbdI"
274205401749270528,KidrauhlsFries,"@biebsunicornia D: creo que es de reproducirlo tantas veces e.e okno, seguro  es mucho #swag para tu equipo de sonido jaskgajqagdpgjask"
274205401472438272,mollyysingleton,"#tbt #SWAG http://t.co/hoS6M0Ls"
274205380299591681,PatriciaLon1,"Try application #aoret2.tk to add followers,retweets,favorites #FollowMe #InstantFollow #Openfollow #F4F #jfb #TFB #swag #FF 1903 #ju21"
274205372846333952,surcoop,"@phelpstwitt92 good morning amber i hope you have a super super day my friend!! #swag"
274205367620231168,SabaPIVOT,"RT @tomvinij: take off yo swag, watch this vid > http://t.co/QcIzzyHD and #GETCOMFORTABLE with @SabaPIVOT  #pivot #swag"
274205350339690496,MattB_3,"@vallllharms @Linno22 Haha Damnit we definitely shoulda left!! I need an outfit for this weekend, maybe he'll let me borrow his vest? #Swag"
274205338532716544,VictorianaMK,"LOVE. #Love #her #so #much #best #Girl #swag #Fun #pictureoftheday #loof #lol #Crazy #spain #germany #yolo # http://t.co/o2KiQZTx"
274205325870112771,serezhaswag,"#cool #swag #green #flstudio #fallow #Russia #instahub       #instagood #nice #nike #hot #shot #amazing #a http://t.co/I71SInTf"
274205316604891136,MillyTATZ,"Photo: #InstapicFrames #blackandgrey #tattoo #tattoos #millytatz #michigan #detroit #detroittattoos #swag... http://t.co/DEn3pU4t"
274205307993989121,MillyTATZ,"#InstapicFrames #blackandgrey #tattoo #tattoos #millytatz #michigan #detroit #detroittattoos #swag #swagstag http://t.co/Qf0XiZPD"
274205292185661440,ryyees,"RT @SingleGayLife: How HOT does Britney look in the Scream & Shout video? #swag #hotmomma 🔥🔥🔥"
274205282568130561,dirtyassnigger,"RT @infernalexile: #SWAG"
274205273797824512,wtffrachell,"#extrafresh #swag "" if that says swag I'm gonna kill myself """
274205272338227200,JaxxtheArt,"#swag"
274205269024731138,KontolMlungker,"Try application #aoret2.tk to add followers,retweets,favorites #FollowMe #InstantFollow #Openfollow #F4F #jfb #TFB #swag #FF 1903"
274205218877603840,SooGiigil,"Try application #aoret2.tk to add followers,retweets,favorites #FollowMe #InstantFollow #Openfollow #F4F #jfb #TFB #swag #FF 36399"
274205205686534145,MitchMartinnn,"Little Mitchell. #tbt #bowlcut #swag #chickmagnet #notreally http://t.co/0rqoRgeH"
274205203899748354,TheTypicalJohan,"Tweeting and peeing #Swag"
274205179795107840,ukhanofficial,"@LordVital @sayitaintsodvd #swag feelin the vid"
274205178985578497,boyxdanny,"Miss my #homie biggiedeniro #tbt #throwbackthursday #college #2010 #goodtimes #swag #ballsohard http://t.co/Og2Pkx96"
274205161973506049,MillyTATZ,"Photo: Different look. #tattoo #tattoos #millytatz #michigan #farmingtonhills #millytatz #swag #lionstattoo... http://t.co/93kCD8oz"
274205161856069633,Cyyypo,"hate it or love it. #SWAG http://t.co/ZEEsImTv http://t.co/scKhh4XA"
274205154692182018,MillyTATZ,"Different look. #tattoo #tattoos #millytatz #michigan #farmingtonhills #millytatz #swag #lionstattoo #detroi http://t.co/VP7d4bfZ"
274205137059344384,ruthlesslyruth,"RT @chl0erome: @Alice_Curd #swag #teamswag #swagalicious #swaggy #swagforeva http://t.co/8ofoWklb"
274205136539242496,amezzz88,"@Marcio_SON my money's on LIL B. #swag ✌"
